run_id,mode,op_name,shape_id,benchmark_layer,benchmark_role,category,dtype,server_name,device,backend,status,correctness,e2e_median_ms,e2e_p95_ms,profiling_available,profiling_path,custom_dir,worker_url,created_at,source,cache_key
2026-05-17_192450,baseline,add_layer_norm,S1,fusion,anchor,normalization,float16,910b,7,torch_npu_custom_api,success,not_checked,0.113727,0.124551,False,/home/hrl/AscendOpGenAgent/litebench/results/runs/2026-05-17_192450/baseline/add_layer_norm/S1/profiling.json,,http://127.0.0.1:9027,2026-05-10T17:03:54.941307,reused_cache,6b002a6e3038583d
2026-05-17_192450,baseline,add_layer_norm,S2,fusion,anchor,normalization,float16,910b,7,torch_npu_custom_api,success,not_checked,0.175222,0.184393,False,/home/hrl/AscendOpGenAgent/litebench/results/runs/2026-05-17_192450/baseline/add_layer_norm/S2/profiling.json,,http://127.0.0.1:9027,2026-05-05T17:09:14.003524,reused_cache,1d40787f8536fa43
2026-05-17_192450,baseline,add_layer_norm,S3,fusion,anchor,normalization,float16,910b,7,torch_npu_custom_api,success,not_checked,0.203658,0.212123,False,/home/hrl/AscendOpGenAgent/litebench/results/runs/2026-05-17_192450/baseline/add_layer_norm/S3/profiling.json,,http://127.0.0.1:9027,2026-05-05T17:09:28.900719,reused_cache,3192e75e71346cb2
2026-05-17_192450,baseline,add_layer_norm,S4,fusion,anchor,normalization,float16,910b,7,torch_npu_custom_api,success,not_checked,0.254139,0.264915,False,/home/hrl/AscendOpGenAgent/litebench/results/runs/2026-05-17_192450/baseline/add_layer_norm/S4/profiling.json,,http://127.0.0.1:9027,2026-05-10T17:04:40.431360,reused_cache,be50ac1c51feeb4d
