run_id,op_name,shape_id,server_name,device,task_duration_us,aiv_vec_ratio,aiv_scalar_ratio,aiv_mte2_ratio,aiv_mte3_ratio,aiv_icache_miss_rate,aic_mac_ratio,cube_utilization,profiling_error
2026-05-10_165823,gelu,S1,910b,7,,,,,,,,,profiling_disabled
2026-05-10_165823,gelu,S2,910b,7,,,,,,,,,profiling_disabled
2026-05-10_165823,gelu,S3,910b,7,,,,,,,,,profiling_disabled
2026-05-10_165823,gelu,S4,910b,7,,,,,,,,,profiling_disabled
2026-05-10_165823,layer_norm_v3,S1,910b,7,,,,,,,,,profiling_disabled
2026-05-10_165823,layer_norm_v3,S2,910b,7,,,,,,,,,profiling_disabled
2026-05-10_165823,layer_norm_v3,S3,910b,7,,,,,,,,,profiling_disabled
2026-05-10_165823,layer_norm_v3,S4,910b,7,,,,,,,,,profiling_disabled
2026-05-10_165823,layer_norm_v3,S5,910b,7,,,,,,,,,profiling_disabled
2026-05-10_165823,mat_mul_v3,S1,910b,7,,,,,,,,,profiling_disabled
2026-05-10_165823,mat_mul_v3,S2,910b,7,,,,,,,,,profiling_disabled
2026-05-10_165823,mat_mul_v3,S3,910b,7,,,,,,,,,profiling_disabled
2026-05-10_165823,mat_mul_v3,S4,910b,7,,,,,,,,,profiling_disabled
2026-05-10_165823,mat_mul_v3,S5,910b,7,,,,,,,,,profiling_disabled
2026-05-10_165823,conv2d_v2,S1,910b,7,,,,,,,,,profiling_disabled
2026-05-10_165823,conv2d_v2,S2,910b,7,,,,,,,,,profiling_disabled
2026-05-10_165823,conv2d_v2,S3,910b,7,,,,,,,,,profiling_disabled
2026-05-10_165823,gather_v2,S1,910b,7,,,,,,,,,profiling_disabled
2026-05-10_165823,gather_v2,S2,910b,7,,,,,,,,,profiling_disabled
2026-05-10_165823,gather_v2,S3,910b,7,,,,,,,,,profiling_disabled
2026-05-10_165823,add_layer_norm,S1,910b,7,,,,,,,,,profiling_disabled
2026-05-10_165823,add_layer_norm,S2,910b,7,,,,,,,,,profiling_disabled
2026-05-10_165823,add_layer_norm,S3,910b,7,,,,,,,,,profiling_disabled
2026-05-10_165823,add_layer_norm,S4,910b,7,,,,,,,,,profiling_disabled
2026-05-10_165823,gelu_mul,S1,910b,7,,,,,,,,,profiling_disabled
2026-05-10_165823,gelu_mul,S2,910b,7,,,,,,,,,profiling_disabled
2026-05-10_165823,gelu_mul,S3,910b,7,,,,,,,,,profiling_disabled
2026-05-10_165823,gelu_mul,S4,910b,7,,,,,,,,,profiling_disabled
2026-05-10_165823,softmax_v2,S1,910b,7,,,,,,,,,profiling_disabled
2026-05-10_165823,softmax_v2,S2,910b,7,,,,,,,,,profiling_disabled
2026-05-10_165823,softmax_v2,S3,910b,7,,,,,,,,,profiling_disabled
2026-05-10_165823,softmax_v2,S4,910b,7,,,,,,,,,profiling_disabled
2026-05-10_165823,swi_glu,S1,910b,7,,,,,,,,,profiling_disabled
2026-05-10_165823,swi_glu,S2,910b,7,,,,,,,,,profiling_disabled
2026-05-10_165823,swi_glu,S3,910b,7,,,,,,,,,profiling_disabled
2026-05-10_165823,swi_glu,S4,910b,7,,,,,,,,,profiling_disabled
2026-05-10_165823,masked_softmax_with_rel_pos_bias,S1,910b,7,,,,,,,,,profiling_disabled
2026-05-10_165823,masked_softmax_with_rel_pos_bias,S2,910b,7,,,,,,,,,profiling_disabled
2026-05-10_165823,masked_softmax_with_rel_pos_bias,S3,910b,7,,,,,,,,,profiling_disabled
2026-05-10_165823,masked_softmax_with_rel_pos_bias,S4,910b,7,,,,,,,,,profiling_disabled
2026-05-10_165823,add_rms_norm_quant,S1,910b,7,,,,,,,,,
2026-05-10_165823,add_rms_norm_quant,S2,910b,7,,,,,,,,,
2026-05-10_165823,add_rms_norm_quant,S3,910b,7,,,,,,,,,
2026-05-10_165823,add_rms_norm_quant,S4,910b,7,,,,,,,,,
