run_id,mode,op_name,shape_id,benchmark_layer,benchmark_role,category,dtype,server_name,device,backend,status,correctness,e2e_median_ms,e2e_p95_ms,profiling_available,profiling_path,custom_dir,worker_url,created_at,source,cache_key
2026-05-10_165823,baseline,gelu,S1,foundation,anchor,activation,float16,910b,7,torch_api,success,not_checked,0.060666,0.077872,False,/home/hrl-kope/AscendOpGenAgent/litebench/results/runs/2026-05-10_165823/baseline/gelu/S1/profiling.json,,http://127.0.0.1:9027,2026-05-10T16:58:37.713618,measured,6c85a80a0a43c6e0
2026-05-10_165823,baseline,gelu,S2,foundation,anchor,activation,float16,910b,7,torch_api,success,not_checked,0.096182,0.102001,False,/home/hrl-kope/AscendOpGenAgent/litebench/results/runs/2026-05-10_165823/baseline/gelu/S2/profiling.json,,http://127.0.0.1:9027,2026-05-05T17:05:32.242081,reused_cache,a61ed9124bc89ad0
2026-05-10_165823,baseline,gelu,S3,foundation,anchor,activation,float16,910b,7,torch_api,success,not_checked,0.157318,0.162212,False,/home/hrl-kope/AscendOpGenAgent/litebench/results/runs/2026-05-10_165823/baseline/gelu/S3/profiling.json,,http://127.0.0.1:9027,2026-05-05T17:05:46.095152,reused_cache,7f95d7f576b46ff6
2026-05-10_165823,baseline,gelu,S4,foundation,anchor,activation,float16,910b,7,torch_api,success,not_checked,0.907875,0.918426,False,/home/hrl-kope/AscendOpGenAgent/litebench/results/runs/2026-05-10_165823/baseline/gelu/S4/profiling.json,,http://127.0.0.1:9027,2026-05-10T16:59:21.575047,measured,38bc952d1349b145
2026-05-10_165823,baseline,layer_norm_v3,S1,foundation,anchor,normalization,float16,910b,7,torch_api,success,not_checked,0.089582,0.099261,False,/home/hrl-kope/AscendOpGenAgent/litebench/results/runs/2026-05-10_165823/baseline/layer_norm_v3/S1/profiling.json,,http://127.0.0.1:9027,2026-05-10T16:59:35.624087,measured,0f0c4a143346cf2f
2026-05-10_165823,baseline,layer_norm_v3,S2,foundation,anchor,normalization,float16,910b,7,torch_api,success,not_checked,0.176182,0.181513,False,/home/hrl-kope/AscendOpGenAgent/litebench/results/runs/2026-05-10_165823/baseline/layer_norm_v3/S2/profiling.json,,http://127.0.0.1:9027,2026-05-05T17:06:14.707149,reused_cache,b364820f83196b84
2026-05-10_165823,baseline,layer_norm_v3,S3,foundation,anchor,normalization,float16,910b,7,torch_api,success,not_checked,0.315775,0.320125,False,/home/hrl-kope/AscendOpGenAgent/litebench/results/runs/2026-05-10_165823/baseline/layer_norm_v3/S3/profiling.json,,http://127.0.0.1:9027,2026-05-05T17:06:28.502834,reused_cache,aed8df2ac62cf52d
2026-05-10_165823,baseline,layer_norm_v3,S4,foundation,anchor,normalization,float16,910b,7,torch_api,success,not_checked,0.279806,0.293215,False,/home/hrl-kope/AscendOpGenAgent/litebench/results/runs/2026-05-10_165823/baseline/layer_norm_v3/S4/profiling.json,,http://127.0.0.1:9027,2026-05-10T17:00:18.680641,measured,ccc6b5efea63b733
2026-05-10_165823,baseline,layer_norm_v3,S5,foundation,anchor,normalization,float16,910b,7,torch_api,success,not_checked,0.236889,0.247704,False,/home/hrl-kope/AscendOpGenAgent/litebench/results/runs/2026-05-10_165823/baseline/layer_norm_v3/S5/profiling.json,,http://127.0.0.1:9027,2026-05-10T17:00:32.997478,measured,ca9ff558920a1835
2026-05-10_165823,baseline,mat_mul_v3,S1,foundation,anchor,matmul,float16,910b,7,torch_api,success,not_checked,0.074166,0.094072,False,/home/hrl-kope/AscendOpGenAgent/litebench/results/runs/2026-05-10_165823/baseline/mat_mul_v3/S1/profiling.json,,http://127.0.0.1:9027,2026-05-10T17:00:48.757062,measured,8e9aac077461c486
